[11:00:24,264] WARN  {KConfig} missing:system.aggregator.ip
[11:20:24,197] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:20:27,236] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:20:27,911] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:20:29,194] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:20:32,239] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:20:32,911] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:20:34,196] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:20:37,238] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:20:37,911] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:20:39,191] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:20:42,240] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:20:42,909] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:20:44,196] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:20:47,240] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:20:47,907] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:20:49,194] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:20:52,238] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:20:52,911] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:20:54,196] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:20:57,238] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:20:57,909] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:20:59,195] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:21:02,240] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:21:02,913] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:21:04,192] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:21:07,238] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:21:07,911] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:21:09,195] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:21:12,238] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:21:12,910] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:21:14,194] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:21:17,236] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
